t,h,label,relatedness_score,sentence_h_en,sentence_t_en
رجل في قبعة يعزف على القيثارة,رجل رمي بعيدا الغيتار,0,2.3,A man is throwing away a guitar,A man in a hat is playing a harp
البالغون والأطفال يقفون ويلعبون أمام درج بالقرب من منطقة حرجية,يتجمع البالغون والأطفال بالقرب من ترتيب جلوس في الهواء الطلق,0,2.8,The adults and children are being gathered near an outdoor seating arrangement,Adults and children standing and playing in front of a stair near a wooded area
يقف الرجل بجانب قفص الطيور,الرجل يجلس بجانب قفص العصافير,0,4.5,The man is sitting next to a birdcage,The man is standing next to a bird cage
لا توجد كلاب بيضاء تجري وتقفز على طول الشاطئ,كلبان يلعبان على الشاطئ,0,3.5,Two dogs are playing on the beach,There are no white dogs running and jumping along a beach
ليس هناك امرأة كسر البيض في وعاء,المرأة كسرت اثنين من البيض في وعاء زجاجي,2,3.8,The woman is cracking two eggs into a glass bowl,There is no woman cracking an egg into a bowl
رجل بملابس خضراء يركل كرة قدم ورجل يرتدي اللون الأرجواني والأبيض يسقط,رجل يرتدي اللون الأخضر يضرب كرة قدم ورجل يرتدي اللون الأرجواني والأبيض يسقط,1,4.4,A man in green is hitting a soccer ball and a man in purple and white is falling down,A man in green is kicking a soccer ball and a man in purple and white is falling down
وقال الرجل أنه قص العشب في الحديقة,صبي قص العشب في الحديقة,1,4.6,A boy is mowing the lawn,A guy is mowing the lawn
رجل يضع وشماً يتسكع على الأريكة,رجل يجلس على كرسي و يفرك عينيه,0,2.1,A man is sitting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and is looking for a pencil
لا يوجد رجل جز العشب,وقال الرجل أنه قص العشب في الحديقة,2,3.6,A guy is mowing the lawn,There is no guy mowing the lawn
رجل يجدف في قارب,رجل يجدف في زورق,1,4.2,A man is rowing a canoe,A man is rowing a boat
سيدة ترتدي ملابس سوداء وتحمل صليبًا أبيض,سيدة ترتدي ثوبًا أسود وتحمل صليبًا أبيض,1,4.5,A lady is wearing a black dress and is carrying a white cross,A lady is dressed in black and is carrying a white cross
شخص ما يقطع بطاطس,ليس هناك شخص يعزف على البيانو,0,1.2,There is no person playing a piano,A person is slicing a potato
يتجمع البالغون والأطفال بالقرب من ترتيب جلوس في الهواء الطلق,لا يتجمع البالغون والأطفال بالقرب من أماكن جلوس خارجية,2,4.4,The adults and children are not gathered near an outdoor seating arrangement,The adults and children are being gathered near an outdoor seating arrangement
رجل يقطع الطماطم ,وقالت امرأة انها  قطعت القرنبيط,0,2.4,A woman is cutting broccoli,A man is cutting tomatoes
يلعب القط بالبطيخ,يلعب  قط واحد  بالبطيخ,1,5.0,One cat is playing with a watermelon,The cat is playing with a watermelon
لا تجلس مجموعة الأشخاص على حافة صخرية بمنظر خلاب خلفهم,تجلس مجموعة الأشخاص على حافة صخرية وخلفهم منظر خلاب,2,3.9,The group of people is sitting on a rocky ledge and a scenic view is behind them,The group of people is not sitting on a rocky ledge with a scenic view behind them
حشد كبير يرتدون ملابس دافئة يقفون أمام الكاميرا,رجلان وامرأة وصبيان يقفون بلا هدف أمام تجمع كبير من الناس خارج مبنى,0,2.0,"Two men, a woman, and two young boys are standing aimlessly in front of a large gathering of people outside a building",A large crowd in warm clothing is posing for a camera
الرجل يلعب بجمجمة,الرجل لا يعزف على الجيتار,0,1.4,The man is not playing the guitar,The man is playing with a skull
يقف مجموعة من الأشخاص معًا وينظرون إلى الكاميرا,رجل شرقي وامرأتان أمام الكاميرا,1,4.0,An oriental man and two women are facing a camera,A group of people is standing together and looking at the camera
يقوم الرجل بدراجة بهلوانية بالدراجة النارية على الأرض التي تكون قاحلة في الغالب,فشل رجل يرتدي بذلة زرقاء في أداء حركة بهلوانية بالدراجة على دراجة نارية,0,3.4,A man in a blue jumpsuit is failing to perform a wheelie on a motorcycle,The man is doing a wheelie with a motorcycle on ground which is mostly barren
شخص يمزق الورق, رجل يمزق الورق بنفسه,0,2.0,A man is cutting himself with a piece of paper,A person is tearing paper
دخلت كرة القدم  في شباك المرمى كهدف, دخلت كرة القدم  في شباك المرمى كهدف,1,4.5,A dirty soccer ball is rolling into a goal net,A soccer ball is rolling into a goal net
طفل صغير يرتدي قميصًا أصفر يضحك,يرتدي الصبي الصغير قميصًا أصفر اللون وهو يضحك,1,5.0,The little boy is wearing a yellow tank top and is laughing,A little boy is wearing a yellow tank top and is laughing
زوجان يسيران في ممر,العروس والعريس يغادرون حفل الزفاف,0,3.6,The bride and the groom are leaving after the marriage,A married couple is walking down the aisle
شخص  يركب دراجة نارية,شخص  يركب دراجة نارية قديمة,1,4.4,A person is riding an old motorcycle,A person is riding a motorcycle
يتجمع البالغون والأطفال بالقرب من ترتيب جلوس في الهواء الطلق,يتم تجميع البالغين والأطفال بالقرب من ترتيب جلوس في الهواء الطلق,1,5.0,The adults and children are being grouped near an outdoor seating arrangement,The adults and children are being gathered near an outdoor seating arrangement
يسقط كلب أبيض وأسود كرة بيسبول من فمه,كلب أبيض وأسود يحمل كرة بيسبول في فمه,0,4.1,A black and white dog is holding a baseball in its mouth,A black and white dog is dropping a baseball from its mouth
الأولاد الصغار يقفون مع كرة قدم خضراء في حديقة,يركع بعض الأولاد بجوار بعضهم البعض أمام كرة,0,3.9,Some boys are kneeling next to each other in front of a ball,The young boys are posing with a green soccer ball in a park
رجل يرتدي قبعة من القش ويدخن سيجارة,الرجل الذي يرتدي القبعة يدخن سيجارة من القش,0,3.6,The man in the hat is smoking a straw cigarette,A man is wearing a straw hat and smoking a cigarette
رجل يتكئ على حافة شرفة,رجل بشارب أبيض يجلس على شرفة وينظر إلى الطريق بالأسفل,0,3.7,A man with a white moustache is sitting on a balcony and is looking at the road below,A man is leaning on the ledge of a balcony
يركض كلب كبير على العشب وفي فمه كرة تنس,كلب كبير الحجم ورمادي يحمل كرة في فمه ويركض عبر العشب,1,4.4,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",A large dog is running on the grass with a tennis ball in its mouth
الشخص يركب الحصان,رجل يركب حصان,1,4.6,A man is riding a horse,The person is riding the horse
رجل يرتدي سترة حمراء وبنطلونًا كاكيًا يسير في أنحاء ولاية أمريكية,شخص يرتدي سترة حمراء مقنعين وحقيبة ظهر سوداء يسير بالقرب من جدار صخري,0,2.5,A person with a red hooded jacket and a black backpack is walking near a rocky wall,A man in a red jacket and khaki pants is walking through an American state
القطة الجاثمة على الطاولة تنظر من النافذة,قطة بيضاء تطفو على خزانة خشبية صغيرة تنظر خارج النافذة,0,4.0,A white cat perched on a small wooden cabinet is looking outside the window,The cat perched on the table is looking out the window
قطار لعبة يصطدم بسيارة لعبة,قطار لعبة يصطدم بسيارة لعبة,1,4.8,A toy train is striking a toy car,A toy train is hitting a toy car
قطة كبيرة صفراء مبللة تسترجع لعبة,كلب أصفر مبلل كبير يسترجع لعبة,0,2.9,A large wet yellow dog is retrieving a toy,A large wet yellow cat is retrieving a toy
كان هناك طفل صغير يقفز في بركة في الشارع,بعض الأحذية الخضراء في بركة مليئة بالطين تستهدفها طفل صغير مرح يرتدي وشاحًا,0,2.6,Some green boots in a puddle full of mud are targeted by a playful young child wearing a scarf,A little boy is jumping into a puddle on the street
يتم العزف على الغيتار  من قبل الطفل,الولد الصغير يغني  يعزف على الغيتار,0,3.5,The little boy is singing and playing the guitar,A guitar is being played by a baby
لا يوجد رجل يعزف على الفلوت,رجل يعزف على الفلوت,2,3.5,A man is playing flute,There is no man playing flute
رجل على دراجة رياضية صفراء يقوم بحركة بهلوانية بالدراجة وصديق على دراجة بيضاء يلحق بالركب,يقود الفارس البرتقالي دراجة نارية على عجلة واحدة,0,2.6,The orange rider is driving a motorcycle on one wheel,A man on a yellow sport bike is doing a wheelie and a friend on a white bike is catching up
شخص ما على دراجة نارية سوداء وبيضاء ويقف على المقعد,لا أحد على دراجة نارية ويقف على المقعد,2,3.7,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat
ليس هناك رجل  قطع البطاطا,رجلتقطع البطاطا إلى شرائح ,2,3.4,A man is slicing a potato,There is no man cutting a potato
رجل آخذ في الارتفاع من مستنقع,رجل يسير في الماء,0,2.9,A man is going into the water,A man is rising from a swamp
ليس هناك رجل يعزف  على الغيتار,الرجل يعزف على الغيتار,2,3.1,The man is playing the guitar,There is no man playing the guitar
رجل وامرأة يقفان على الرصيف,رجل وامرأة يقفزان على الرصيف,0,3.8,A man and a woman are jumping on the curb,A man and a woman are standing on the curb
طفلان يبرزان ألسنة ملونة باللونين الأزرق والأخضر,يقوم زوج من الأطفال بإخراج ألسنة ملونة باللونين الأزرق والأخضر,1,4.8,A pair of kids are sticking out blue and green colored tongues,Two kids are sticking out blue and green colored tongues
امرأتان ترتديان البكيني على الشاطئ الرملي,امرأتان ترتديان البكيني على الشاطئ الرملي,1,4.9,Two women are wearing bikinis on the sandy beach,Two women are wearing bikinis on the beach which is sandy
ثلاث نساء واقفات,الرجل يرقص ,0,1.7,The man is dancing,Three women are standing still
المرأة تقطع  الثوم,امرأة تقطع الثوم,1,4.8,A woman is chopping up garlic,The woman is dicing garlic
امرأة تنظف قدميها ,امرأة تغسل قدميها,0,3.7,A woman is washing her feet,A woman is brushing her feet
الغزلان يقفز من فوق السياج,غزال يقفز فوق جدار,0,4.0,A deer is jumping over a wall,The deer is jumping over the fence
شخص  يضع الخضار في وعاء,شخص لا يضع الخضار في وعاء,2,3.8,A person is not stirring vegetables in a pot,A person is stirring vegetables in a pot
رجل واحد يتسلق  على جرف بحبل,متسلق اجتماعي يربط رجلًا إلى جرف بحبل,0,3.1,A social climber is tying a man to a cliff with a rope,One man is climbing a cliff with a rope
كلب ينام على الأرض,كلب تان متسخ يتدحرج في التراب وينظر إلى الكاميرا مباشرة,0,3.1,A dirty tan dog is rolling in the dirt and looking right at the camera,A dog is sleeping on the ground
رجل في موقف للسيارات ويلعب التنس ضد صديق,رجل في موقف للسيارات ويلعب التنس أمام جدار كبير,0,3.9,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend
رجل يتمرن,رجلين يتقاتلون,0,2.0,Two men are fighting,The man is doing exercises
وقف بعض الشبان صامدين وانفجار سيارة خلفهم,يقف الصبيان أمام السيارة المحترقة,0,3.7,The boys are standing in front of the burning car,Some young men are standing still and a car is exploding behind them
الرجل يغذي الفأر بحذر للثعبان,يقوم الرجل بإطعام الثعبان بالماوس,0,2.3,A poor man is being fed snakes and mice,A snake is being fed a mouse by a man
الصبي ذو الرداء الأزرق يهرب من المرأة ذات الرداء الأزرق,صبي يلعب في الحديقة مع والدته,0,2.0,A young boy is playing in the park with his mother,The boy in blue is running away from the woman in blue
القرد يفرش كلب الثور,كلب ثور ينظف من قبل القرد,1,4.8,A bull dog is being brushed by the monkey,The monkey is brushing a bull dog
فتاة صغيرة تخرج من سيارة لعبة,فتاة صغيرة تركب سيارة لعبة,2,4.2,A small girl is riding in a toy car,A small girl is getting out of a toy car
فتاة تعزف على الناي,ليس هناك فتاة  تعزف على الناي,2,3.6,There is no girl playing a flute,A girl is playing a flute
تؤدي الفتاة التي ترتدي الزي الأزرق والأبيض بعض الهتافات,الفتاة في الزي الأزرق والأبيض تهتف ,1,4.9,The girl in the blue and white uniform is cheering,Some cheers are being performed by the girl in the blue and white uniform
امرأة تركب الخيل ,رجل يطلق النار على سلاح,0,1.1,A man is shooting a weapon,A woman is riding a horse
الرجل يعزف على الغيتار,رجل يضع أسفل الفلوت,0,2.5,A man is putting down the flute,The man is playing a guitar
اثنين من الصبية يلعبون لعبة فيديو,اثنين من الصبية يلعبون على أريكة ألعاب الفيديو,1,4.3,Two boys on a couch are playing video games,Two boys are playing a video game
صبي يمسك خرطوم بجانب رجل وصبي آخر يراقب,يقام خرطوم التي كتبها صبي بجانب رجل وصبي آخر يراقب,1,4.9,A hose is being held by a boy next to a man and another boy is watching,A boy is holding a hose next to a man and another boy is watching
 رجل قطع شريحة من الخبز,رجل يقطع بعض الخبز,1,4.8,A man is slicing some bread,A man is cutting a slice of bread
تأكل القطط الطعام على الصواني,يتم تناول القطط الصغيرة الموجودة على الصواني كطعام للإعلان,0,3.5,The kittens on the trays are being eaten as food for an advertisement,The food on the trays is being eaten by the kittens
امرأة  لم تقطع الطماطم,رجل يقوم بقطع الطماطم إلى شرائح,0,3.1,A man is slicing a red tomato,A woman is slicing a tomato
يتم خلط بعض المكونات في وعاء من قبل شخص,وقالت امرأة  أنها كسرت اثنين من البيض في وعاء,0,3.3,A woman is breaking two eggs in a bowl,Some ingredients are being mixed in a bowl by a person
فتاتان مراهقتان ترتديان فساتين فاخرة في إحدى المناسبات,امرأة ترتدي ثوبًا أبيض وامرأة ترتدي ثوبًا أزرق تقفان على خشبة المسرح,0,2.3,A woman in a white dress and a woman in a blue dress are standing on a stage,Two teenage girls are wearing fancy dresses at an event
رجل يقوم بخدعة على دراجة,رجل يقوم بخدعة على لوح تزلج,0,2.5,A man is doing a trick on a skateboard,A man is doing a trick on a bike
امرأة تحرك  أصابعها بعصبية,امرأة تحرك  أصابعها على الطاولة,0,4.4,A woman is tapping her fingers on a table,A woman is tapping her fingers nervously
رجل يقف على يديه على الشاطئ,رجل يجلس على الشاطئ,0,3.2,A man is sitting on the beach,A man is performing a handstand on the beach
الشخص قطع  البصل,شخص  على وشك الانتهاء من تقطيع البصل,0,3.5,A person is wrapping up an onion,A person is cutting an onion
رجل يؤدي خدعة  على دراجة خضراء,رجل يلعب ألعاب الخفة على دراجة خضراء,1,4.7,A man is performing stunts on a green bicycle,A man is performing a trick on a green bicycle
يعزف طفل على الغيتار,صبي لايعزف على الغيتار,0,3.6,A boy is not playing a guitar,A kid is playing guitar
شخص يقطع بصلة,شخص يقف بالقرب من دراجة نارية,0,1.2,A person is standing near a motorcycle,A person is chopping an onion
رجل يضع الخضار في قدر,لا أحد يصب المكونات في وعاء,2,3.6,Nobody is pouring ingredients into a pot,A man is putting vegetables into a pot
مجموعة أشخاص يرتدون أزياء تنكرية تفرقوا في الغابة في اتجاهات مختلفة,فتاة صغيرة تنظر بتمعن  إلى امرأة في زي تنكري,0,2.4,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions
فتاة في فرقة تعزف على الفلوت,فتاة ترتدي الزي الرسمي تعزف على الفلوت بفرقة,1,4.2,A girl in a uniform is playing the flute with a band,A girl in a band is playing the flute
امرأة تضع المكياج على وجه رجل,امرأة تنظف وجه رجل,0,2.7,A woman is cleaning a man's face,The woman is putting makeup on the man
الكلب البني يقفز في الهواء,لا يوجد كلب بني يقفز في الهواء,2,3.5,There is no brown dog jumping in the air,The brown dog is jumping in the air
هذا الموضوع يدرسه رجل بكاميرا,الرجل ذو القبعة الأرجوانية يشغل كاميرا تصنع مقاطع فيديو,0,3.6,The man in the purple hat is operating a camera that makes videos,The subject is being studied by a man with a camera
ويجري تقشير البطاطا من قبل امرأة,امرأة تقشر  ببطء البطاطا,1,4.5,One woman is slowly peeling a potato,The potato is being peeled by a woman
شخص يرتدي الجينز يجلس فوق سرج حصان,المرأة التي ترتدي الجينز تجلس على سرج حصان,1,4.3,The woman in jeans is sitting on the saddle of a horse,A person wearing jeans is sitting on top of a horse saddle
كلب أسمر يركض عبر الثلج,كلب تان يستريح في الثلج,0,3.7,A tan dog is resting in the snow,A tan dog is running through the snow
الرجل لا يقوم بقفزة كبيرة,شخص يرتدي سترة زرقاء يقفز من فوق جدار أسمنتي طويل,0,2.735,A person in a blue jacket is jumping off of a tall cement wall,The man is not performing a large jump
قرد ركل شخصاً,ليس هناك قرد ركل شخص,2,4.3,There is no monkey kicking a person,A monkey is kicking a person
كلب أسود  وكلب بني الفاتح يلعبون في الفناء الخلفي,كلب أسود الظلام والكلب البني الفاتح يلعبون في الفناء في الظهر,1,4.9,A dark black dog and a light brown dog are playing in the yard in the back,A dark black dog and a light brown dog are playing in the backyard
الرجل يغذي الفأر بحذر للثعبان,يتم تغذية أي ثعبان الماوس عن طريق رجل,2,3.4,No snake is being fed a mouse by a man,The man is cautiously feeding a mouse to the snake
يؤدي الساحر خدعة سحرية,رجل يلقي بالسكاكين على شجرة بشكل خطير,0,2.0,A man is dangerously throwing knives at a tree,The man isn't doing a magic trick
لا يوجد رجل يرتدي قميصًا رماديًا يجلس على صخرة أمام الشلال,الرجل الذي يرتدي قميصًا رماديًا يجلس على صخرة أمام الشلال,2,3.5,The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall
الشخص يسير في الماء,رجل يسير في البحيرة,1,4.3,The man is going into the lake,The person is going into the water
يركض كلب بني وأبيض مع منديل بني وأسود بسرعة,امرأة تكسر بيضة في وعاء,0,1.0,A woman is cracking an egg into a bowl,A brown and white dog with a brown and black bandanna is quickly running 
الرجل تهدف بندقية,تلعب صبي على لعبة,0,1.1,A boy is playing on a toy,The man is aiming a gun
رجل و مرأة يمشيان,رجل يمشي مع امرأة عبر الغابات,1,4.0,A man is walking a woman through the woods,The man and woman are walking
امرأة ترتدي خوذة زرقاء وركوب دراجة في موقف للسيارات,صبي يرتدي قميصًا مخططًا يركض حافي القدمين على التل الرملي,0,1.0,A boy wearing a striped shirt is running barefoot on the sandy hill,A woman is wearing a blue helmet and is riding a bicycle in a parking lot
صمت مجموعة من الأولاد أمام باب كبير مصنوع من الخشب,يلعب الأطفال أمام الباب الكبير,0,3.4,The children are playing in front of a large door,A group of boys are quiet in front of a large door made of wood
لا يشرب الكلب الأصفر الماء من الصنبور ,كلب أصفر يشرب الماء من الصنبور,2,3.6,A yellow dog is drinking water from the faucet,A yellow dog is not drinking water from the faucet
رجل يرتدي قميصًا مصبوغًا باللون البنفسجي ينظر إلى رجل يرتدي قميصًا أسود ويقوم بوجه يبدو مضحكًا,رجل يرتدي قميصًا مصبوغًا باللون البنفسجي ينظر إلى رجل يرتدي قميصًا أسود ويقوم بوجه مضحك,1,5.0,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny
الكلب الأسود والأبيض يجري في الهواء الطلق,الكلب الأسود والأبيض يجري في ساحة خضراء,1,4.3,The black and white dog is running in a green yard,The black and white dog is running outdoors
كلب ينبح في الكرة,كلب يسبح بعد كرة التنس,0,3.1,A dog is swimming after a tennis ball,A dog is barking at a ball
يتم وضع الطفل في سلة المهملات من قبل امرأة,شخص يأخذ بعيدا اللحم في المقلاة,0,1.0,A person is taking away the meat in the skillet,The baby is being put into a trash can by a woman
لا يوجد امرأة ترقص,مرأة ترقص,2,2.9,A woman is dancing,There is no woman dancing
مجموعة أشخاص على الشاطئ,الناس بعيداون عن  رمال الشاطئ على المحيط ويعانون من اليوم المشمس,0,2.8,People are far from a beach full of sand by the ocean and are suffering from the sunny day,A bunch of people is on the shore
شخص  يستمع إلى عزف البوق,رجل يعزف على الغيتار,0,1.5,A man is playing the guitar,A person is listening to a trumpet playing
الرجل لا بعزف على الكمان,امرأة تعزف على الناي,0,3.8,A woman is playing the flute,A man is not playing a flute
طفل صغير يرتدي قميصًا ورديًا يركض تحت شجرة في الصحراء,فتاة ترتدي الجينز وقميصًا ورديًا وهي تجري,0,2.8,A girl is wearing jeans and a pink shirt and is running,A little boy in a pink shirt is running under a tree in the desert
المسرحية تدور حول صبي سعيد بالعزف على البيانو,يتم عزف البيانو على يد رجل,0,2.6,A piano is being played by a man,The play is about a happy boy playing the piano
ضابط يتحدث إلى الجنود,ضابط يتحدث إلى المجندين,0,4.2,An officer is talking to the recruits,An officer is talking to the soldiers
يأكل دب الباندا بعض الخيزران,دب الباندا يأكل بعض الخيزران ,1,4.8,A panda bear is eating some bamboo,Some bamboo is being eaten by a panda bear
طفلان يتدحرجان في المياه الموحلة,طفلان يتدحرجان في مياه قذرة,1,4.9,Two children are rolling in dirty water,Two children are rolling in muddy water
يركض كلب بني وأسود من خلال الأوراق,كلب في الفناء يركض عبر معاطف ملونة,0,2.6,A dog in the yard is running across colored coats,A brown and black dog is running through the leaves
رجل يعزف على البيانو ,ليس هناك رجل يعزف  على البيانو,2,4.0,There is no man playing the piano,A man is playing the piano
كلبان كبيران يرحبان في حقل عشبي,كلبان يركضان عبر العشب العالي,0,3.8,Two dogs are running through high grass,Two large dogs are frolicking in a grassy field
وحيد القرن الصغير يلاحق وحيد القرن البالغ,وحيد القرن الصغير يتجول حول قلم مع والدته,1,4.1,A baby rhino is walking around a pen with its mother,A baby rhino is following an adult rhino
حلبة التزلج على الجليد الموضوعة في الهواء الطلق مليئة بالناس,ليس هناك الكثير من الناس في حديقة تزلج على الجليد,0,3.5,Not a lot of people are in an ice skating park,An ice skating rink placed outdoors is full of people
يلعب الصبي في الوحل,الولد يلعب بحماس في الوحل,1,4.5,The boy is enthusiastically playing in the mud,The boy is playing in the mud
وقالت امرأة أنها تقشر البطاطا,الشخص يعزف بحماس على الغيتار أمام جمهور,0,1.0,A person is passionately playing a guitar in front of an audience,A woman is peeling a potato
المسترد الذهبي قيد التشغيل,كلب أصفر يركض في طريق مغطى بالرمال,0,3.6,A yellow dog is running down a path covered by sand,A golden retriever is running
يقفز كلب أسود على رصيف في بركة ماء,كلب أسود يقفز من قفص الاتهام إلى بركة,1,4.7,A black dog is jumping off a dock into a pond,A black dog is jumping on a dock into a pond
الرجل يغني و يعزف على الغيتار,الرجل يغني بحرارة  ويعزف على الغيتار,1,4.3,The man is singing heartily and playing the guitar,The man is singing and playing the guitar
شخص  يخرج من الماء,رجل آخذ في الارتفاع من مستنقع,0,3.6,A man is rising from a swamp,A person is coming out of the water
رجل يعزف على الغيتار,رجل رمي بعيدا الغيتار,0,3.0,A man is throwing away a guitar,A man is playing a guitar
رجل يقترب,المرأة يقترب رجل,0,2.5,The woman is drawing a man,A man is drawing
أشخاص يسيرون خارج مبنى يحتوي على العديد من الجداريات ,الناس يسيرون داخل مبنى يحتوي على العديد من الجداريات ,0,3.4,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it
امرأة تقف على دراجة زرقاء وترتدي الكثير من خوذات الركوب,امرأة ترتدي خوذة زرقاء وركوب دراجة في موقف للسيارات,0,3.1,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,A woman is parking a blue bicycle and is wearing lots of riding helmets
رجل يمشي في المطر,إنها تمطر على رجل يمشي,1,4.9,It is raining on a walking man,A man is walking in the rain
بقرتين يقاتلون في المراعي من قبل رجل,رجلين يتقاتلون في مراعي الأبقار,0,3.2,Two men are fighting in a cow pasture,Two cows are fighting in a pasture by a man
ليس هناك صبي يعزف على الجيتار,يعزف صبي صغير على الغيتار,2,3.5,A little boy is playing a guitar,There is no boy playing guitar
فتاة تصفف شعرها,وفتاة تمشط  شعرها بالفرشاة,1,4.1,A girl is brushing her hair,A girl is styling her hair
رجل يركب حصانًا قذرًا على طريق أزرق,رجل بملابس زرقاء يركب حصانًا على طريق ترابي,0,3.6,A man in blue is riding a horse on a dirt road,A man is riding a dirty horse on a blue road
يتم رفع الأوزان من قبل الرجل,الرجل  رفع الحدائد,1,4.4,The man is lifting barbells,Weights are being lifted by the man
راكب الأمواج يركب موجة صغيرة,راكب أمواج يركب موجة كبيرة عبر مياه خضراء داكنة,2,3.9,A surfer is riding a big wave across dark green water,The surfer is riding a small wave
 رجل قطع لوحة ورقة,ويجري قص  ورقة من قبل رجل,1,5.0,A paper plate is being cut by a man,A man is cutting a paper plate
رجل يقف على يديه على الشاطئ,يقوم الرجل بالوقوف على يديه على الشاطئ الرطب عند حافة المياه على الشاطئ,1,4.7,The man is doing a handstand on the wet shore at the edge of the water at the beach,A man is performing a handstand on the beach
 رجل قطع البطاطا,ليس هناك رجل  قطع البطاطا,2,3.7,There is no man cutting a potato,A man is cutting a potato
رجل يرتدي قبعة من القش ويدخن سيجارة,سيجارة يدخنها رجل يرتدي قبعة من القش,1,4.8,A cigarette is being smoked by the man in the straw hat,A man is wearing a straw hat and smoking a cigarette
يقف كلب يعاني من سوء التغذية على رجليه الخلفيتين ويستعد للقفز,كلب بني جالس,0,2.5,A brown dog is sitting down,A malnourished looking dog is standing on its hind legs and preparing to jump
شخص ما يداعب  حيوان,سيدة تداعب حيوان,1,3.9,Someone is stroking the belly of an animal,A woman is stroking a lemur
نمر يتجول,شبل النمر يزأر,0,3.1,A tiger cub is roaring,A tiger is walking around
شخص يقطع بعض البصل,لا يوجد  هامستر يغني,0,1.0,There is no hamster singing,A person is slicing some onions
ترقد في الثلج فتاة صغيرة ترتدي معطفًا أخضر وصبيًا يحمل زلاجة حمراء,فتاة صغيرة ترتدي معطفًا أخضر وصبيًا يحمل زلاجة حمراء يمشيان في الثلج,0,3.7,A little girl in a green coat and a boy holding a red sled are walking in the snow,A little girl in a green coat and a boy holding a red sled are lying in the snow
رجل يقطع جذوع الأشجار بفأس,الرجل قطع جذع شجرة بفأس,0,4.4,The man is chopping a tree trunk with an axe,A man is chopping a log with an axe
الرجل يعزف على الآلة الموسيقية,الرجل يلعب بجمجمة,0,2.2,The man is playing with a skull,The man is playing the instrument
رجلين يحتجزون أقطاب الصيد,رجلين تحتجز أقطاب الصيد وصيد السمك,1,4.3,Two men are holding fishing poles and fishing tackle,Two men are holding fishing poles
يتم تقطيع شرائح البصل بواسطة امرأة,امرأة قطعت البطاطا,0,3.2,A woman is cutting a potato,An onion is being sliced by a woman
مجموعة صغيرة من الناس واقفين واثنان يجلسان على الأريكة,تقف مجموعة صغيرة من الناس ويجلس اثنان على الأريكة,1,4.8,A small group of people are standing and two are sitting on the couch,A small group of people are standing and two are sitting on the sofa
نمر يخطو نحو القفص,نمر يتجول بلا هدف,0,4.4,A tiger is walking around aimlessly,A tiger is pacing around a cage
الشخص يسير في الماء,رجل يسير في الماء,1,4.5,The man is going into the water,The person is going into the water
